DATASET,NG_R2,RD_R2,NG_RMSE,RD_RMSE
Dihydrofolate,0.43885683473153625,0.5273834873004659,0.8911176657285957,0.8209371097907302
Dihydrofolate,0.5143811689797406,0.5701384182859653,0.8134963118998483,0.7763645576088068
Dihydrofolate,0.4354679170183196,0.478338782341479,0.8308299585686048,0.7956540729042534
Dihydrofolate,0.3969790202354175,0.4512546171152222,0.9591052542261241,0.9100380755797353
Dihydrofolate,0.44119680425055163,0.4643946988946552,0.8433776751975509,0.8243208145870247
Dihydrofolate,0.3723730487498068,0.37222316777692066,0.9135658769695056,0.9170922617044668
Dihydrofolate,0.5442819308991536,0.5659305380539867,0.7803674130450247,0.7589277623706767
Dihydrofolate,0.48880503605214887,0.489946695224389,0.7972790560643933,0.7965356787936608
Dihydrofolate,0.2663391304338942,0.3910450695175369,0.9799285686852481,0.8769281319697482
Dihydrofolate,0.5128036567650702,0.5868531558488931,0.8010905012804892,0.7414480097251219
opioid,0.6179107150755011,0.6545538143448928,0.7802371033548768,0.7419956627698966
opioid,0.625255541563379,0.6498785501776944,0.7577665439584447,0.7307027426230791
opioid,0.6476322574290936,0.6690085866634046,0.7665406450783226,0.7447510057341474
opioid,0.6505609072137993,0.6687172642228296,0.7562383948894188,0.7362727661893472
opioid,0.6733090503825039,0.6628622181663639,0.7551428430855809,0.764317023401008
opioid,0.6520544587238264,0.6826670495917551,0.782987918699586,0.7453414912341612
opioid,0.6284775775427408,0.6048703244599576,0.7579527083160483,0.7821927409709729
opioid,0.6041126315475595,0.633127875482969,0.7827215675610273,0.7522795926255559
opioid,0.605081208416721,0.6236336945073994,0.788446840273389,0.77024702377619
opioid,0.5550708770803291,0.6052249878579744,0.7848449523124531,0.7358725901812334
ABL1,0.5822555579943451,0.6040812076165195,0.8341238432098632,0.8146874650291369
ABL1,0.5092405614782368,0.5778957190652204,0.8283949551387055,0.7675978242094832
ABL1,0.5650244300189664,0.5908955323192098,0.8587756462161639,0.8376159638594962
ABL1,0.5983405441511425,0.679203918573907,0.8271942795751865,0.7591135173439619
ABL1,0.5810463665237856,0.6077891877538795,0.818693959796493,0.7943030496558906
ABL1,0.6058109485766424,0.654978608114787,0.7936414236003946,0.7458271068210288
